,"Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,10,2.2,0.4,5,24
"2",1,20,6.6,0.7,5,24
"3",1,40,13,2.3,5,24
"4",1,60,13.4,1.8,5,24
"5",1,80,12.4,1.4,5,24
"6",2,10,3.8,0.4,5,24
"7",2,20,10.2,0.9,5,24
"8",2,40,16.4,1.4,5,24
"9",2,60,29.4,2.4,5,24
"10",2,80,25.6,3,5,24
"11",4,10,5.4,0.4,5,24
"12",4,20,11.4,1.2,5,24
"13",4,40,17,1.2,5,24
"14",4,60,30.2,1.5,5,24
"15",4,80,32.8,2.1,5,24
"16",8,10,6.2,0.6,5,24
"17",8,20,15.8,0.9,5,24
"18",8,40,32,1.3,5,24
"19",8,60,33.2,1.9,5,24
"20",8,80,29.8,1.4,5,24
"1",1,10,3,1.1,5,24
"2",1,20,14,1.6,5,24
"3",1,40,12.2,1.7,5,24
"4",1,60,21.2,2.2,5,24
"5",1,80,12,2,5,24
"6",2,10,6,1.7,5,24
"7",2,20,12,0.9,5,24
"8",2,40,15.6,1.4,5,24
"9",2,60,22.2,2.5,5,24
"10",2,80,21.8,3,5,24
"11",4,10,8.2,1.1,5,24
"12",4,20,12.2,1.2,5,24
"13",4,40,23.6,2,5,24
"14",4,60,21,3.3,5,24
"15",4,80,21.4,2.7,5,24
"16",8,10,9,0.4,5,24
"17",8,20,15.2,1.3,5,24
"18",8,40,24.4,1.8,5,24
"19",8,60,16.2,2.4,5,24
"20",8,80,21.6,2,5,24
"1",1,10,1.8,0.9,5,24
"2",1,20,10.4,1.9,5,24
"3",1,40,14.8,1,5,24
"4",1,60,17.8,1.8,5,24
"5",1,80,15,2.5,5,24
"6",2,10,8,0.3,5,24
"7",2,20,11.2,0.8,5,24
"8",2,40,14.6,1.2,5,24
"9",2,60,15.2,0.8,5,24
"10",2,80,17,1.8,5,24
"11",4,10,6.8,0.4,5,24
"12",4,20,10.6,1.2,5,24
"13",4,40,14.6,2.1,5,24
"14",4,60,21.4,3.5,5,24
"15",4,80,17.2,1.6,5,24
"16",8,10,4.6,0.7,5,24
"17",8,20,11.4,1.2,5,24
"18",8,40,25.4,2.8,5,24
"19",8,60,29.6,2.7,5,24
"20",8,80,24.6,2.1,5,24
